id,name,name_zh,glass_type,scene,composition,output_image,status,prompt,prompt_zh
977,Kick the Pigeon,踢鸽子,Champagne Flute,粉橘气泡左置,off-center-left / medium,output/images/977_kick_the_pigeon.jpg,success,"Fresh bright still-life of a single tall champagne flute on a pale linen-draped surface, subject on the left third with soft airy space to the right, medium shot, glass about a third of frame height. A pale peachy-pink sparkling cocktail, crystal clear with a steady stream of fine bubbles rising, a slender twisted lemon peel resting on the rim, delicate cool condensation on the flute. Soft backlit daylight through a sheer curtain making the bubbles glow, light pastel palette, shallow depth of field, creamy bokeh, 100mm macro feel, hyper-detailed, photorealistic, 8k, single cocktail glass only, no other glasses, restrained harmonious low-saturation background, no text, no letters, no numbers, no logo, no watermark",清新明亮静物：一只高身香槟笛杯置于铺着浅色亚麻的台面左侧三分处，右侧柔和留白，中景，杯高约占画幅三分之一。酒体为淡蜜桃粉的起泡鸡尾酒，晶莹透亮，细密气泡持续上升，杯沿搭一条纤细柠檬皮卷，杯身凝结细腻冷凝水珠。薄纱窗帘透进的柔和逆光令气泡发光，淡雅粉彩色调，浅景深奶油散景，100mm微距感，超精细，写实，8k。
980,Pink Pigeon Punch,粉红鸽子潘趣,Coupe,西瓜粉潘趣右置,off-center-right / medium,output/images/980_pink_pigeon_punch.jpg,success,"Sun-kissed still-life of a single coupe glass on a warm terracotta surface, subject on the right third with breezy negative space to the left, medium shot. A vivid watermelon-pink rum punch, gently opaque and fresh with a lively ginger-beer fizz on top, tiny bubbles clinging, a small watermelon triangle on the rim, light condensation. Warm golden-hour daylight from the left, relaxed summery palette kept low in saturation, shallow depth of field, creamy bokeh, 85mm macro feel, hyper-detailed, photorealistic, 8k, single cocktail glass only, no other glasses, restrained harmonious low-saturation background, no text, no letters, no numbers, no logo, no watermark",沐浴阳光的静物：一只碟形杯置于暖陶土色台面右侧三分处，左侧轻盈留白，中景。酒体为鲜明西瓜粉的朗姆潘趣，微浑而新鲜，顶部姜汁啤酒气泡欢腾、细泡附壁，杯沿一小块西瓜三角，杯身微凝水珠。左侧暖金黄昏日光，慵懒夏日色调但饱和克制，浅景深奶油散景，85mm微距感，超精细，写实，8k。
981,Kentucky Garrigue,肯塔基加里格,Collins,草莓红仰视,low-angle hero / subject lower third,output/images/981_kentucky_garrigue.jpg,success,"Low-angle hero still-life of a single tall Collins glass on a dark slate bar, subject in the lower third with dramatic dark space and gentle light bloom above. A deep strawberry-ruby bourbon cooler over crushed and cube ice, richly translucent with a peppery-shrub tint, faint tonic effervescence, a fresh strawberry and a few cracked black peppercorns as garnish, cool beading on the glass. Warm side light rakes the tall column while the backdrop falls to shadow, cinematic low-key palette, shallow depth of field, creamy bokeh, 85mm feel, hyper-detailed, photorealistic, 8k, single cocktail glass only, no other glasses, restrained harmonious low-saturation background, no text, no letters, no numbers, no logo, no watermark",低角度英雄式静物：一只高身可林杯置于深色石板吧台上，主体位于下三分，上方留出戏剧暗部与柔和光晕。酒体为深草莓红宝石色的波本清凉调，浇于碎冰与方冰上，浓郁半透、带胡椒香脂醋色泽，隐约汤力气泡，杯口以一颗鲜草莓与几粒碎黑胡椒装饰，杯壁凝结冷珠。暖侧光扫过高杯，背景没入阴影，电影暗调，浅景深奶油散景，85mm感，超精细，写实，8k。
1026,La Hops Vie,啤酒花人生,Martini,罗勒清爽俯45,high-angle 45 overhead / off-center,output/images/1026_la_hops_vie.jpg,success,"Bright airy high-angle 45-degree still-life of a single chilled martini glass on a pale marble counter, subject offset to reveal the clean surface, glass modest in frame. A pale citrus yellow-green vodka sour, crystal clear and bright, two fresh spanked basil leaves floating on the surface, tiny surface bubbles, cool condensation on the bowl. Soft diffused daylight from upper right casting a gentle shadow, fresh clean low-saturation palette, shallow depth of field, creamy bokeh, 100mm macro feel, hyper-detailed, photorealistic, 8k, single cocktail glass only, no other glasses, restrained harmonious low-saturation background, no text, no letters, no numbers, no logo, no watermark",明亮清新的45度高角度俯拍静物：一只冰镇马天尼杯置于浅色大理石台面，主体偏置露出干净台面，杯身占比适中。酒体为淡柑橘黄绿色的伏特加酸酒，晶莹明亮，两片轻拍过的新鲜罗勒叶浮于酒面，表面细小气泡，杯壁凝结冷珠。右上方柔和漫射日光投出淡影，清爽低饱和色调，浅景深奶油散景，100mm微距感，超精细，写实，8k。
1034,The Monte Rua,蒙特鲁阿,Champagne Flute,金气泡环境景,wide environmental / subject small,output/images/1034_the_monte_rua.jpg,success,"Wide environmental still-life, a single champagne flute standing small within a softly lit celebratory nook, subject about a quarter of the frame with ambient space around. A pale gold sparkling wine with a rosy cherry-syrup blush pooling near the base and a graceful column of fine bubbles rising, a single dark Luxardo cherry resting at the bottom, delicate condensation. Soft warm ambient light with gentle bokeh of distant fairy lights kept to a single warm hue, refined understated palette, shallow depth of field, 85mm feel, hyper-detailed, photorealistic, 8k, single cocktail glass only, no other glasses, restrained harmonious low-saturation background, no text, no letters, no numbers, no logo, no watermark",广角环境静物：一只香槟笛杯较小地立于柔光庆祝角落，主体约占画幅四分之一，四周环境留白。酒体为淡金色起泡酒，杯底晕着玫瑰色樱桃糖浆，一柱细腻气泡优雅上升，杯底沉着一颗深色路萨朵樱桃，杯身微凝水珠。柔和暖调环境光，远处串灯散景仅取单一暖色，克制内敛色调，浅景深，85mm感，超精细，写实，8k。
1042,The Lover's Quarrel,恋人争吵,,果香一角留白,minimalist negative space / corner,output/images/1042_the_lover_s_quarrel.jpg,success,"Minimalist still-life, a single rocks glass nudged to the upper-right corner of the frame with expansive clean negative space and soft gradient shadow filling the lower area. A warm amber-orange gin cooler with a subtle spicy-honey glow, over a big clear ice cube, faintly effervescent, garnished with a thin peach slice and a small jalapeno round on the rim, light condensation. Soft directional daylight grazing from the left, muted warm low-saturation palette, shallow depth of field, creamy bokeh, 100mm macro feel, hyper-detailed, photorealistic, 8k, single cocktail glass only, no other glasses, restrained harmonious low-saturation background, no text, no letters, no numbers, no logo, no watermark",极简静物：一只古典杯被推到画面右上角，其余是开阔干净的负空间与柔和渐变阴影。酒体为暖琥珀橙色的金酒清凉调，透出微妙的辛香蜂蜜光泽，浇于一块通透大冰上，略带气泡，杯沿以一薄片桃子与一小圈哈瓦那辣椒装饰，杯身微凝水珠。左侧柔和定向日光掠过，低饱和暖色调，浅景深奶油散景，100mm微距感，超精细，写实，8k。
1053,Nieux Carré,新奥尔良广场,Old Fashioned Glass,琥珀框景纵深,foreground framing / through blur,output/images/1053_nieux_carré.jpg,success,"Layered still-life shot through a soft blurred foreground of dark bar bottles, a single heavy Old Fashioned glass in the mid-ground offset from center, strong sense of depth. A deep amber-red spirit-forward stir over one large clear ice cube, richly translucent and glowing, no garnish, elegant chill sheen and faint condensation on the glass. Warm tungsten side light against a shadowed backdrop, sophisticated speakeasy low-key palette, shallow depth of field, creamy bokeh, 85mm macro feel, hyper-detailed, photorealistic, 8k, single cocktail glass only, no other glasses, restrained harmonious low-saturation background, no text, no letters, no numbers, no logo, no watermark",层次感静物，透过虚化的前景深色酒瓶拍摄：一只厚重古典杯位于中景、偏离正中，纵深强烈。酒体为深琥珀红的烈酒型搅拌调，浇于一块通透大冰上，浓郁半透、隐隐发光，无装饰，杯身泛着冷凝光泽与微珠。暖钨丝侧光映衬阴影背景，考究的地下酒吧暗调，浅景深奶油散景，85mm微距感，超精细，写实，8k。
1082,Fuji-La,富士拉,Coupe,苹果金长焦,telephoto compression / off-center third,output/images/1082_fuji_la.jpg,success,"Cinematic telephoto still-life, a single coupe glass on the left third line with deep compressed creamy bokeh of a muted interior behind, shallow focal plane. A pale golden apple-gin cocktail, crystal clear and luminous, no ice, a thin fan of Fuji apple slices lightly dusted with cinnamon perched on the rim, a whisper of surface sheen, clean stem. Soft warm directional light rimming the bowl against cool shadow, refined low-key palette, 135mm compression, creamy bokeh, hyper-detailed, photorealistic, 8k, single cocktail glass only, no other glasses, restrained harmonious low-saturation background, no text, no letters, no numbers, no logo, no watermark",电影感长焦静物：一只碟形杯置于左侧三分线，背后是深邃压缩的奶油散景与低调室内，焦平面浅。酒体为淡金色的苹果金酒鸡尾酒，晶莹通透、熠熠生辉，无冰，杯沿架一小扇富士苹果薄片、薄撒肉桂粉，酒面泛着微光，杯脚洁净。柔和暖调定向光勾勒杯身、映衬冷调阴影，考究暗调，135mm压缩，奶油散景，超精细，写实，8k。
1459,Polish Penance,波兰忏悔,Etched Rocks Glass,蚀纹杯俯拍,off-center flat lay / top-down,output/images/1459_polish_penance.jpg,success,"Overhead top-down flat-lay still-life, a single etched rocks glass placed off-center on a dark honed stone surface, clean surrounding space with a curled lemon twist resting nearby. A reddish-amber plum-brandy stir over one large clear Hoshizaki ice cube, richly translucent with a rosy Peychaud tint, the etched crystal facets catching light, subtle chill sheen. Dramatic hard directional light from one side casting a crisp geometric shadow, moody low-key palette, shallow depth of field, 100mm feel, hyper-detailed, photorealistic, 8k, single cocktail glass only, no other glasses, restrained harmonious low-saturation background, no text, no letters, no numbers, no logo, no watermark",90度俯拍平铺静物：一只蚀刻古典杯偏置于深色哑光石面上，周围留白，一旁搭着一条柠檬皮卷。酒体为红琥珀色的李子白兰地搅拌调，浇于一块通透Hoshizaki大冰上，浓郁半透、带Peychaud玫瑰色调，蚀刻水晶切面反光，杯身微凝冷光。单侧戏剧硬光投出利落几何阴影，暗调，浅景深，100mm感，超精细，写实，8k。
1529,II Piacere,欢愉,,樱桃奶泡剪影,distant backlit rim / subject to side,output/images/1529_ii_piacere.jpg,success,"Quiet cinematic still-life, a single coupe glass set small to one side, backlit by a soft warm glow rimming its silhouette, large atmospheric shadow space dominating. A reddish-amber hazelnut-cherry rum sour under a fine silky egg-white foam, a single dark maraschino cherry resting on the foam, delicate surface texture. Warm side-back light with distant tiny warm accent, serene moody palette, shallow depth of field, creamy bokeh, 85mm feel, hyper-detailed, photorealistic, 8k, single cocktail glass only, no other glasses, restrained harmonious low-saturation background, no text, no letters, no numbers, no logo, no watermark",静谧电影感静物：一只碟形杯较小地置于画面一侧，被柔和暖光逆光勾出轮廓，大片氛围阴影主导画面。酒体为红琥珀色的榛子樱桃朗姆酸酒，覆一层丝滑蛋清奶泡，泡沫上停一颗深色马拉斯奇诺樱桃，表面质感细腻。暖调侧逆光配远处一点极小暖光，宁静而有情绪的色调，浅景深奶油散景，85mm感，超精细，写实，8k。
1555,Kerouac,凯鲁亚克,Collins,柑橘气泡左置,off-center-left / medium,output/images/1555_kerouac.jpg,success,"Bright lifestyle still-life of a single tall Collins glass on a pale concrete counter, subject on the left third with airy negative space to the right, medium shot, glass about a third of frame height. A glowing orange-amber tequila cooler over clear ice cubes, lightly effervescent with soda, translucent with a bitter-orange tint, a long grapefruit twist arcing over the rim, cool condensation beading down the glass. Soft daylight from the right, clean warm low-saturation palette, shallow depth of field, creamy bokeh, 85mm macro feel, hyper-detailed, photorealistic, 8k, single cocktail glass only, no other glasses, restrained harmonious low-saturation background, no text, no letters, no numbers, no logo, no watermark",明亮生活方式静物：一只高身可林杯置于浅色水泥台面左侧三分处，右侧轻盈留白，中景，杯高约占画幅三分之一。酒体为发亮的橙琥珀色龙舌兰清凉调，浇于通透方冰上，苏打带来轻盈气泡，半透且带苦橙色泽，一条长西柚皮弧形横跨杯沿，杯壁凝结冷珠下滑。右侧柔和日光，干净低饱和暖色调，浅景深奶油散景，85mm微距感，超精细，写实，8k。
1195,Masataka's Vision,政孝之见,,威士忌暖光右置,off-center-right / medium,output/images/1195_masataka_s_vision.jpg,success,"Moody spirit-forward still-life of a single Old Fashioned glass on aged dark wood, subject on the right third with soft shadowed space to the left, medium shot. A deep amber Japanese whisky old-fashioned stirred over ice, richly translucent and glowing, an expressed orange twist and a dark Luxardo cherry resting inside, undissolved sugar sparkle, faint condensation. Warm tungsten side light rakes the glass against a dim backdrop, refined low-key palette, shallow depth of field, creamy bokeh, 85mm macro feel, hyper-detailed, photorealistic, 8k, single cocktail glass only, no other glasses, restrained harmonious low-saturation background, no text, no letters, no numbers, no logo, no watermark",暗调、以烈酒为主角的静物：一只古典杯置于做旧深色木面右侧三分处，左侧柔和阴影留白，中景。酒体为深琥珀色的日本威士忌古典调，搅拌于冰上，浓郁半透、隐隐发光，杯中放着一条挤香橙皮与一颗深色路萨朵樱桃，糖粒微闪，杯身微凝水珠。暖钨丝侧光扫过酒杯、映衬昏暗背景，考究暗调，浅景深奶油散景，85mm微距感，超精细，写实，8k。
1544,Doitashimashie,请多关照,Old Fashioned Glass,谷物威士忌仰视,low-angle hero / subject lower third,output/images/1544_doitashimashie.jpg,success,"Low-angle hero still-life of a single Old Fashioned glass on dark stone, subject in the lower third with dramatic dark space and a soft light bloom above. A luminous golden-amber grain-whisky old-fashioned over one large clear ice sphere, brilliantly translucent, a curled orange twist and a fresh mint sprig on top, faint demerara richness, subtle condensation. Warm directional tungsten light rimming the sphere against deep shadow, cinematic low-key palette, shallow depth of field, creamy bokeh, 85mm feel, hyper-detailed, photorealistic, 8k, single cocktail glass only, no other glasses, restrained harmonious low-saturation background, no text, no letters, no numbers, no logo, no watermark",低角度英雄式静物：一只古典杯置于深色石面上，主体位于下三分，上方留出戏剧暗部与柔和光晕。酒体为发亮的金琥珀色谷物威士忌古典调，浇于一颗通透大冰球上，晶莹半透，杯口搭一条橙皮卷与一枝新鲜薄荷，透出德梅拉拉糖的醇厚，杯身微凝水珠。暖调定向钨丝光勾勒冰球、映衬深暗阴影，电影暗调，浅景深奶油散景，85mm感，超精细，写实，8k。
1253,Glimpse of Seduction,诱惑一瞥,,冰沙分层俯45,high-angle 45 overhead / off-center,output/images/1253_glimpse_of_seduction.jpg,success,"Elegant high-angle 45-degree still-life of a single coupe glass on a pale stone surface, subject offset to reveal the tabletop. A frozen blended cocktail, pale rosy-pink and smooth like sorbet, topped with a deep ruby pomegranate-liqueur float layered on the surface, a fresh lychee perched on the rim, delicate frosty texture and cool mist. Soft cool daylight from upper left casting a gentle shadow, refined pastel low-saturation palette, shallow depth of field, creamy bokeh, 100mm macro feel, hyper-detailed, photorealistic, 8k, single cocktail glass only, no other glasses, restrained harmonious low-saturation background, no text, no letters, no numbers, no logo, no watermark",优雅的45度高角度俯拍静物：一只碟形杯置于浅色石面，主体偏置露出台面。酒体为冰沙状的搅打鸡尾酒，淡玫瑰粉、如雪芭般顺滑，表面覆一层深红宝石色的石榴利口酒分层，杯沿架一颗新鲜荔枝，霜雾质感细腻。左上方柔和冷调日光投出淡影，淡雅低饱和粉彩色调，浅景深奶油散景，100mm微距感，超精细，写实，8k。
1249,Ch?teau Montifaud Creation,蒙蒂福城堡特调,,干邑柠檬环境景,wide environmental / subject small,output/images/1249_ch_teau_montifaud_creation.jpg,success,"Wide environmental still-life, a single highball glass standing small within a softly lit bistro corner, subject about a quarter of the frame with ambient space around it. A pale golden cognac-lemonade cooler over clear ice cubes, gently cloudy with fine effervescence, a bright twisted lemon peel on the rim, cool beading on the glass. Warm ambient daylight with soft bokeh of a blurred window behind, relaxed low-saturation palette, shallow depth of field, 85mm feel, hyper-detailed, photorealistic, 8k, single cocktail glass only, no other glasses, restrained harmonious low-saturation background, no text, no letters, no numbers, no logo, no watermark",广角环境静物：一只高球杯较小地立于柔光小酒馆一角，主体约占画幅四分之一，四周环境留白。酒体为淡金色的干邑柠檬清凉调，浇于通透方冰上，微浑且带细腻气泡，杯沿一条明亮柠檬皮卷，杯身凝结冷珠。暖调环境日光，背后虚化窗景散景，慵懒低饱和色调，浅景深，85mm感，超精细，写实，8k。
1258,Profundo,深邃,,奶油分层一角,minimalist negative space / corner,output/images/1258_profundo.jpg,success,"Minimalist decadent still-life, a single stemmed cocktail glass pushed to the lower-left corner with vast clean negative space and soft shadow. A deep mahogany-red chocolate-cherry bourbon cocktail crowned with a half-inch layer of lightly whipped cream floating on top, a single fresh cherry nested in the cream, elegant contrast of dark liquid and pale foam, subtle sheen. Warm low side light against a deep shadowed backdrop, indulgent moody palette, shallow depth of field, creamy bokeh, 100mm macro feel, hyper-detailed, photorealistic, 8k, single cocktail glass only, no other glasses, restrained harmonious low-saturation background, no text, no letters, no numbers, no logo, no watermark",极简奢华静物：一只高脚鸡尾酒杯被推到画面左下角，其余是大片干净负空间与柔和阴影。酒体为深赤褐红的巧克力樱桃波本鸡尾酒，顶部漂浮约一厘米厚的轻打发奶油层，奶油中央嵌一颗新鲜樱桃，深色酒液与浅色泡沫优雅对比，泛着微光。暖调低位侧光映衬深暗背景，纵情而有情绪的色调，浅景深奶油散景，100mm微距感，超精细，写实，8k。
