id,name,en,category,local_image,image_source,white_ratio,status
314,伦敦干金,London dry gin,base_spirit,images/314_London_dry_gin.png,csv,0.974,ok
318,陈年朗姆酒,aged rum,base_spirit,images/318_aged_rum.png,csv,0.970,ok
319,姜,Ginger,base_spirit,images/319_Ginger.png,csv,1.000,ok
325,苹果白兰地,apple brandy,base_spirit,images/325_apple_brandy.png,csv,1.000,ok
34,青柠味伏特加,lime vodka,base_spirit,images/34_lime_vodka.png,cocktaildb,0.988,ok
342,威士忌,whiskey,base_spirit,images/342_whiskey.png,cocktaildb,1.000,ok
346,白威士忌,white whiskey,base_spirit,images/346_white_whiskey.png,cocktaildb,1.000,ok
359,调和苏格兰威士忌,blended Scotch whisky,base_spirit,images/359_blended_Scotch_whisky.png,csv,1.000,ok
361,高酒精度朗姆酒,overproof rum,base_spirit,images/361_overproof_rum.png,cocktaildb,0.987,ok
366,干邑白兰地,Cognac,base_spirit,images/366_Cognac.png,csv,0.921,ok
375,皮斯科酒,Pisco,base_spirit,images/375_Pisco.png,cocktaildb,0.981,ok
381,加拿大威士忌,Canadian whisky,base_spirit,images/381_Canadian_whisky.png,cocktaildb,1.000,ok
386,单一麦芽威士忌,single malt whisky,base_spirit,images/386_single_malt_whisky.png,cocktaildb,1.000,ok
387,黑朗姆酒,dark rum,base_spirit,images/387_dark_rum.png,csv,1.000,ok
391,李子白兰地,plum brandy,base_spirit,images/391_plum_brandy.png,cocktaildb,0.964,ok
392,根茎浸泡伏特加,vodka,base_spirit,images/392_vodka.png,cocktaildb,0.937,ok
421,调和麦芽威士忌,blended malt whisky,base_spirit,images/421_blended_malt_whisky.png,cocktaildb,1.000,ok
437,龙舌兰酒,tequila,base_spirit,images/437_tequila.png,cocktaildb,0.978,ok
438,南瓜伏特加,vodka,base_spirit,images/438_vodka.png,cocktaildb,0.937,ok
443,苹果威士忌,apple whiskey,base_spirit,images/443_apple_whiskey.png,cocktaildb,1.000,ok
448,菠萝浸泡梅斯卡尔,mezcal,base_spirit,images/448_mezcal.png,cocktaildb,1.000,ok
450,黑糖朗姆酒,blackstrap rum,base_spirit,images/450_blackstrap_rum.png,cocktaildb,1.000,ok
459,卡莎萨酒,Cachaca,base_spirit,images/459_Cachaca.png,cocktaildb,1.000,ok
462,普利茅斯金酒,Plymouth gin,base_spirit,images/462_Plymouth_gin.png,cocktaildb,0.974,ok
479,苹果肉桂浸泡伏特加,vodka,base_spirit,images/479_vodka.png,cocktaildb,0.937,ok
5,芒果朗姆酒,mango rum,base_spirit,images/5_mango_rum.png,cocktaildb,1.000,ok
517,咖啡浸泡伏特加,coffee vodka,base_spirit,images/517_coffee_vodka.png,cocktaildb,0.937,ok
518,风味金酒,flavored gin,base_spirit,images/518_flavored_gin.png,cocktaildb,0.974,ok
521,樱桃伏特加,cherry vodka,base_spirit,images/521_cherry_vodka.png,cocktaildb,0.937,ok
5272,野火鸡,Wild Turkey bourbon,base_spirit,images/5272_Wild_Turkey_bourbon.png,cocktaildb,0.977,ok
5273,苹果杰克,Applejack,base_spirit,images/5273_Applejack.png,csv,1.000,ok
5274,皇冠,Crown Royal,base_spirit,images/5274_Crown_Royal.png,csv,1.000,ok
5276,Everclear,Everclear,base_spirit,images/5276_Everclear.png,csv,1.000,ok
5280,杰克丹尼,Jack Daniels,base_spirit,images/5280_Jack_Daniels.png,csv,0.914,ok
5288,卡莎萨,Cachaca,base_spirit,images/5288_Cachaca.png,csv,1.000,ok
5289,皮斯科,Pisco,base_spirit,images/5289_Pisco.png,cocktaildb,0.981,ok
5291,Calvados 苹果白兰地,Calvados apple brandy,base_spirit,images/5291_Calvados_apple_brandy.png,cocktaildb,1.000,ok
5294,Bols Genever 荷兰金酒,Bols Genever,base_spirit,images/5294_Bols_Genever.png,cocktaildb,0.974,ok
534,果味伏特加,fruit vodka,base_spirit,images/534_fruit_vodka.png,csv,0.974,ok
543,香料朗姆酒,spiced rum,base_spirit,images/543_spiced_rum.png,cocktaildb,0.980,ok
55,椰子朗姆酒,coconut rum,base_spirit,images/55_coconut_rum.png,cocktaildb,1.000,ok
567,淡陈年朗姆酒,aged rum,base_spirit,images/567_aged_rum.png,cocktaildb,1.000,ok
57,姜饼风味烈酒,gingerbread spirit,base_spirit,images/57_gingerbread_spirit.png,cocktaildb,0.964,ok
588,蜂蜜金酒,honey gin,base_spirit,images/588_honey_gin.png,cocktaildb,0.974,ok
597,巴西朗姆酒,Brazilian rum,base_spirit,images/597_Brazilian_rum.png,cocktaildb,1.000,ok
604,朗姆酒,rum,base_spirit,images/604_rum.png,cocktaildb,1.000,ok
607,阿夸维特,Aquavit,base_spirit,images/607_Aquavit.png,cocktaildb,0.986,ok
616,陈年龙舌兰酒,anejo tequila,base_spirit,images/616_anejo_tequila.png,cocktaildb,0.978,ok
624,粉红朗姆酒,pink rum,base_spirit,images/624_pink_rum.png,cocktaildb,1.000,ok
626,谷物威士忌,grain whiskey,base_spirit,images/626_grain_whiskey.png,cocktaildb,1.000,ok
628,艾雷岛威士忌,Islay whisky,base_spirit,images/628_Islay_whisky.png,cocktaildb,1.000,ok
630,伏特加,vodka,base_spirit,images/630_vodka.png,csv,1.000,ok
633,梅斯卡尔酒,mezcal,base_spirit,images/633_mezcal.png,cocktaildb,1.000,ok
662,椰子浸泡黑麦威士忌,rye whiskey,base_spirit,images/662_rye_whiskey.png,cocktaildb,1.000,ok
679,爱尔兰威士忌,Irish whiskey,base_spirit,images/679_Irish_whiskey.png,csv,0.954,ok
687,大黄浸渍金酒,gin,base_spirit,images/687_gin.png,cocktaildb,0.974,ok
689,陈酿龙舌兰酒,anejo tequila,base_spirit,images/689_anejo_tequila.png,cocktaildb,0.978,ok
69,梨味伏特加,pear vodka,base_spirit,images/69_pear_vodka.png,cocktaildb,0.937,ok
692,菠萝朗姆酒,pineapple rum,base_spirit,images/692_pineapple_rum.png,cocktaildb,1.000,ok
701,雪利白兰地,sherry brandy,base_spirit,images/701_sherry_brandy.png,cocktaildb,0.975,ok
705,伦敦干金酒,London dry gin,base_spirit,images/705_London_dry_gin.png,cocktaildb,0.974,ok
724,南瓜浸泡威士忌,whiskey,base_spirit,images/724_whiskey.png,cocktaildb,1.000,ok
728,农业朗姆酒,rhum agricole,base_spirit,images/728_rhum_agricole.png,cocktaildb,1.000,ok
737,白兰地,brandy,base_spirit,images/737_brandy.png,csv,0.964,ok
739,苏格兰威士忌,Scotch whisky,base_spirit,images/739_Scotch_whisky.png,cocktaildb,1.000,ok
754,皮斯科白兰地,Pisco brandy,base_spirit,images/754_Pisco_brandy.png,cocktaildb,0.981,ok
762,陈年龙舌兰,anejo tequila,base_spirit,images/762_anejo_tequila.png,cocktaildb,0.978,ok
774,马德拉桶威士忌,whisky,base_spirit,images/774_whisky.png,cocktaildb,1.000,ok
789,白龙舌兰,blanco tequila,base_spirit,images/789_blanco_tequila.png,cocktaildb,0.978,ok
803,柠檬味朗姆酒,lemon rum,base_spirit,images/803_lemon_rum.png,csv,1.000,ok
818,梨子白兰地,pear brandy,base_spirit,images/818_pear_brandy.png,cocktaildb,0.964,ok
86,艾雷岛单一麦芽威士忌,Islay single malt whisky,base_spirit,images/86_Islay_single_malt_whisky.png,cocktaildb,1.000,ok
112,鲜奶油,fresh cream,dairy,images/112_fresh_cream.png,cocktaildb,0.893,ok
118,重奶油,heavy cream,dairy,images/118_heavy_cream.png,csv,1.000,ok
151,酸奶,yogurt,dairy,images/151_yogurt.png,cocktaildb,1.000,ok
181,姜黄椰奶,turmeric coconut milk,dairy,images/181_turmeric_coconut_milk.png,cocktaildb,1.000,ok
205,香草冰淇淋,vanilla ice cream,dairy,images/205_vanilla_ice_cream.png,cocktaildb,1.000,ok
243,奶粉,milk powder,dairy,images/placeholders/dairy.png,placeholder,1.000,no_image
354,奶油,cream,dairy,images/354_cream.png,cocktaildb,0.893,ok
356,奶泡,milk foam,dairy,images/356_milk_foam.png,cocktaildb,0.970,ok
362,澄清牛奶,clarified milk,dairy,images/362_clarified_milk.png,cocktaildb,0.970,ok
403,淡奶油,light cream,dairy,images/403_light_cream.png,cocktaildb,0.904,ok
407,牛奶,milk,dairy,images/407_milk.png,cocktaildb,0.970,ok
440,椰奶,coconut milk,dairy,images/440_coconut_milk.png,cocktaildb,1.000,ok
49,甜炼椰奶,sweetened condensed coconut milk,dairy,images/49_sweetened_condensed_coconut_milk.png,cocktaildb,1.000,ok
496,椰子奶油,coconut cream,dairy,images/496_coconut_cream.png,cocktaildb,1.000,ok
620,杏仁奶,almond milk,dairy,images/placeholders/dairy.png,placeholder,1.000,no_image
719,巴氏杀菌蛋清,pasteurized egg white,dairy,images/719_pasteurized_egg_white.png,cocktaildb,1.000,ok
731,蛋黄,egg yolk,dairy,images/731_egg_yolk.png,csv,1.000,ok
732,高脂奶油,heavy cream,dairy,images/732_heavy_cream.png,cocktaildb,1.000,ok
736,鸡蛋,egg,dairy,images/736_egg.png,csv,1.000,ok
812,炼乳,condensed milk,dairy,images/812_condensed_milk.png,cocktaildb,1.000,ok
130,芹菜杆,celery stalk,garnish,images/130_celery_stalk.png,cocktaildb,1.000,ok
137,肉桂粉,cinnamon powder,garnish,images/137_cinnamon_powder.png,cocktaildb,1.000,ok
156,多香果,allspice,garnish,images/156_allspice.png,cocktaildb,1.000,ok
161,甘草根,licorice root,garnish,images/161_licorice_root.png,image_search,1.000,ok
184,豆蔻粉,cardamom powder,garnish,images/184_cardamom_powder.png,image_search,1.000,ok
186,新鲜薄荷,fresh mint,garnish,images/186_fresh_mint.png,cocktaildb,0.999,ok
192,黑樱桃,black cherry,garnish,images/192_black_cherry.png,cocktaildb,1.000,ok
195,香草粉,vanilla powder,garnish,images/195_vanilla_powder.png,bing,0.908,ok
196,香蕉,banana,garnish,images/196_banana.png,cocktaildb,0.981,ok
200,罗勒枝,basil sprig,garnish,images/200_basil_sprig.png,cocktaildb,0.986,ok
202,肉桂,cinnamon,garnish,images/202_cinnamon.png,cocktaildb,1.000,ok
208,青苹果,green apple,garnish,images/208_green_apple.png,cocktaildb,0.998,ok
216,柠檬皮,lemon peel,garnish,images/216_lemon_peel.png,cocktaildb,1.000,ok
227,柠檬皮屑,lemon zest,garnish,images/227_lemon_zest.png,cocktaildb,1.000,ok
228,辣椒盐,chili salt,garnish,images/228_chili_salt.png,cocktaildb,1.000,ok
230,罗勒叶,basil leaf,garnish,images/230_basil_leaf.png,cocktaildb,0.986,ok
235,新鲜覆盆子,fresh raspberry,garnish,images/placeholders/garnish.png,placeholder,0.996,no_image
238,柠檬片,lemon slice,garnish,images/238_lemon_slice.png,cocktaildb,0.992,ok
245,柑橘片,citrus slice,garnish,images/245_citrus_slice.png,cocktaildb,1.000,ok
256,无花果,fig,garnish,images/256_fig.png,bing,1.000,ok
261,薰衣草,lavender,garnish,images/261_lavender.png,cocktaildb,0.972,ok
266,蔓越莓,cranberry,garnish,images/266_cranberry.png,cocktaildb,1.000,ok
28,血橙,blood orange,garnish,images/28_blood_orange.png,cocktaildb,1.000,ok
284,盐,salt,garnish,images/284_salt.png,cocktaildb,1.000,ok
290,水果,fruit,garnish,images/290_fruit.png,csv,1.000,ok
303,柚子,pomelo,garnish,images/303_pomelo.png,bing,1.000,ok
307,康科德葡萄,concord grape,garnish,images/307_concord_grape.png,cocktaildb,1.000,ok
308,八角,star anise,garnish,images/placeholders/garnish.png,placeholder,1.000,no_image
311,新鲜百里香,fresh thyme,garnish,images/311_fresh_thyme.png,cocktaildb,1.000,ok
316,香料,spices,garnish,images/316_spices.png,cocktaildb,1.000,ok
32,红甜椒块,red bell pepper chunk,garnish,images/32_red_bell_pepper_chunk.png,image_search,1.000,ok
327,胡萝卜,carrot,garnish,images/327_carrot.png,cocktaildb,1.000,ok
333,小辣椒,small chili,garnish,images/placeholders/garnish.png,placeholder,1.000,no_image
335,姜皮,ginger peel,garnish,images/335_ginger_peel.png,cocktaildb,1.000,ok
349,芹菜盐,celery salt,garnish,images/349_celery_salt.png,cocktaildb,1.000,ok
350,黄瓜,cucumber,garnish,images/350_cucumber.png,cocktaildb,1.000,ok
353,菠萝轮,pineapple wheel,garnish,images/353_pineapple_wheel.png,cocktaildb,0.978,ok
357,葡萄柚皮,grapefruit peel,garnish,images/357_grapefruit_peel.png,bing,1.000,ok
37,黑胡椒粒,black peppercorns,garnish,images/37_black_peppercorns.png,cocktaildb,1.000,ok
380,桃片,peach slice,garnish,images/380_peach_slice.png,bing,1.000,ok
393,莓果,berries,garnish,images/393_berries.png,cocktaildb,1.000,ok
395,海盐,sea salt,garnish,images/395_sea_salt.png,cocktaildb,1.000,ok
396,鼠尾草叶,sage leaf,garnish,images/placeholders/garnish.png,placeholder,1.000,no_image
416,蒜瓣,garlic clove,garnish,images/416_garlic_clove.png,cocktaildb,1.000,ok
419,刺山柑,capers,garnish,images/placeholders/garnish.png,placeholder,0.939,no_image
432,西瓜,watermelon,garnish,images/432_watermelon.png,cocktaildb,0.934,ok
436,橙子,orange,garnish,images/436_orange.png,cocktaildb,1.000,ok
439,玫瑰,rose,garnish,images/439_rose.png,cocktaildb,0.972,ok
458,脱水梨片,dehydrated pear slice,garnish,images/placeholders/garnish.png,placeholder,0.000,no_image
470,苹果,apple,garnish,images/470_apple.png,cocktaildb,0.998,ok
474,整粒黑胡椒,whole black peppercorns,garnish,images/474_whole_black_peppercorns.png,cocktaildb,1.000,ok
482,李子片,plum slice,garnish,images/placeholders/garnish.png,placeholder,1.000,no_image
500,迷迭香,rosemary,garnish,images/500_rosemary.png,cocktaildb,1.000,ok
510,腌秋葵,pickled okra,garnish,images/placeholders/garnish.png,placeholder,0.994,no_image
527,覆盆子,raspberry,garnish,images/527_raspberry.png,bing,1.000,ok
530,莳萝,dill,garnish,images/placeholders/garnish.png,placeholder,0.996,no_image
541,青柠角,lime wedge,garnish,images/541_lime_wedge.png,cocktaildb,1.000,ok
56,橙片,orange slice,garnish,images/56_orange_slice.png,cocktaildb,1.000,ok
566,橙皮,orange peel,garnish,images/566_orange_peel.png,cocktaildb,0.989,ok
579,薄荷叶,mint leaf,garnish,images/579_mint_leaf.png,cocktaildb,0.999,ok
590,新鲜蔓越莓,fresh cranberry,garnish,images/590_fresh_cranberry.png,cocktaildb,1.000,ok
596,菠萝块,pineapple chunk,garnish,images/596_pineapple_chunk.png,cocktaildb,0.978,ok
615,樱桃,cherry,garnish,images/615_cherry.png,cocktaildb,1.000,ok
62,荔枝,lychee,garnish,images/62_lychee.png,image_search,1.000,ok
629,金桔,kumquat,garnish,images/629_kumquat.png,bing,1.000,ok
632,新鲜罗勒叶,fresh basil leaf,garnish,images/632_fresh_basil_leaf.png,cocktaildb,0.986,ok
636,橄榄,olive,garnish,images/636_olive.png,cocktaildb,1.000,ok
64,墨西哥辣椒酿橄榄,jalapeno stuffed olive,garnish,images/64_jalapeno_stuffed_olive.png,cocktaildb,1.000,ok
642,泰椒,thai chili,garnish,images/placeholders/garnish.png,placeholder,0.989,no_image
648,青柠,lime,garnish,images/648_lime.png,cocktaildb,1.000,ok
649,葡萄柚,grapefruit,garnish,images/649_grapefruit.png,bing,1.000,ok
668,柠檬,lemon,garnish,images/668_lemon.png,cocktaildb,0.992,ok
677,樱桃番茄,cherry tomato,garnish,images/placeholders/garnish.png,placeholder,1.000,no_image
680,黄瓜片,cucumber slice,garnish,images/680_cucumber_slice.png,cocktaildb,1.000,ok
682,红盐,red salt,garnish,images/682_red_salt.png,cocktaildb,1.000,ok
686,胡椒,pepper,garnish,images/686_pepper.png,cocktaildb,1.000,ok
694,茴香,fennel,garnish,images/placeholders/garnish.png,placeholder,0.460,no_image
704,龙蒿叶,tarragon leaf,garnish,images/placeholders/garnish.png,placeholder,0.000,no_image
708,肉豆蔻,nutmeg,garnish,images/708_nutmeg.png,cocktaildb,1.000,ok
717,粉红胡椒,pink peppercorn,garnish,images/717_pink_peppercorn.png,cocktaildb,1.000,ok
723,胡椒粒,peppercorns,garnish,images/723_peppercorns.png,cocktaildb,1.000,ok
73,马拉斯奇诺樱桃,maraschino cherry,garnish,images/73_maraschino_cherry.png,cocktaildb,1.000,ok
733,柑橘水果,citrus fruit,garnish,images/733_citrus_fruit.png,cocktaildb,1.000,ok
742,草莓,strawberry,garnish,images/742_strawberry.png,cocktaildb,1.000,ok
747,新鲜鼠尾草,fresh sage,garnish,images/placeholders/garnish.png,placeholder,0.996,no_image
755,姜片,ginger slice,garnish,images/755_ginger_slice.png,cocktaildb,1.000,ok
759,蜜饯姜,candied ginger,garnish,images/759_candied_ginger.png,cocktaildb,1.000,ok
765,柠檬皮丝,lemon peel twist,garnish,images/765_lemon_peel_twist.png,cocktaildb,1.000,ok
767,肉桂棒,cinnamon stick,garnish,images/767_cinnamon_stick.png,cocktaildb,1.000,ok
77,黄瓜条,cucumber stick,garnish,images/77_cucumber_stick.png,cocktaildb,1.000,ok
770,百里香,thyme,garnish,images/770_thyme.png,cocktaildb,1.000,ok
772,香菜,cilantro,garnish,images/772_cilantro.png,bing,1.000,ok
775,装饰,garnish,garnish,images/775_garnish.png,cocktaildb,1.000,ok
780,刨屑,shavings,garnish,images/placeholders/garnish.png,placeholder,,not_found
785,鸡尾酒洋葱,cocktail onion,garnish,images/placeholders/garnish.png,placeholder,0.132,no_image
788,烤樱桃,roasted cherry,garnish,images/788_roasted_cherry.png,cocktaildb,1.000,ok
808,薄荷枝,mint sprig,garnish,images/808_mint_sprig.png,cocktaildb,0.999,ok
81,香草,herbs,garnish,images/81_herbs.png,cocktaildb,0.986,ok
83,葡萄,grapes,garnish,images/83_grapes.png,cocktaildb,1.000,ok
96,薄荷,mint,garnish,images/96_mint.png,cocktaildb,0.999,ok
97,百香果,passion fruit,garnish,images/97_passion_fruit.png,image_search,1.000,ok
127,西柚汁,grapefruit juice,juice,images/127_grapefruit_juice.png,csv,1.000,ok
135,葡萄柚汁,grapefruit juice,juice,images/135_grapefruit_juice.png,cocktaildb,1.000,ok
23,大黄汁,rhubarb juice,juice,images/placeholders/juice.png,placeholder,0.067,no_image
25,未过滤苹果汁,unfiltered apple juice,juice,images/25_unfiltered_apple_juice.png,cocktaildb,1.000,ok
255,黄瓜汁,cucumber juice,juice,images/placeholders/juice.png,placeholder,1.000,no_image
274,柚子汁,yuzu juice,juice,images/placeholders/juice.png,placeholder,1.000,no_image
277,桃汁,peach juice,juice,images/placeholders/juice.png,placeholder,1.000,no_image
288,百香果汁,passion fruit juice,juice,images/placeholders/juice.png,placeholder,0.079,no_image
329,椰子水,coconut water,juice,images/placeholders/juice.png,placeholder,1.000,no_image
360,橄榄汁,olive brine juice,juice,images/360_olive_brine_juice.png,cocktaildb,1.000,ok
370,番茄汁,tomato juice,juice,images/370_tomato_juice.png,cocktaildb,0.930,ok
38,菠萝汁,pineapple juice,juice,images/38_pineapple_juice.png,cocktaildb,1.000,ok
390,苹果汁,apple juice,juice,images/390_apple_juice.png,csv,1.000,ok
408,葡萄汁,grape juice,juice,images/408_grape_juice.png,csv,1.000,ok
426,果汁,fruit juice,juice,images/placeholders/juice.png,placeholder,0.993,no_image
43,西瓜汁,watermelon juice,juice,images/43_watermelon_juice.png,image_search,0.000,ok
445,胡萝卜汁,carrot juice,juice,images/445_carrot_juice.png,cocktaildb,1.000,ok
455,草莓果汁,strawberry puree,juice,images/placeholders/juice.png,placeholder,0.578,no_image
473,青柠汁,lime juice,juice,images/473_lime_juice.png,cocktaildb,0.996,ok
497,酸樱桃汁,sour cherry juice,juice,images/placeholders/juice.png,placeholder,0.163,no_image
504,血橙汁,blood orange juice,juice,images/placeholders/juice.png,placeholder,0.838,no_image
508,石榴汁,pomegranate juice,juice,images/508_pomegranate_juice.png,bing,1.000,ok
532,柠檬汁,lemon juice,juice,images/532_lemon_juice.png,cocktaildb,0.974,ok
564,哈密瓜果汁,cantaloupe juice,juice,images/placeholders/juice.png,placeholder,0.888,no_image
595,鲜榨青柠汁,fresh lime juice,juice,images/595_fresh_lime_juice.png,cocktaildb,0.996,ok
606,草莓汁,strawberry juice,juice,images/placeholders/juice.png,placeholder,0.990,no_image
61,金桔汁,kumquat juice,juice,images/placeholders/juice.png,placeholder,1.000,no_image
646,樱桃汁,cherry juice,juice,images/646_cherry_juice.png,csv,1.000,ok
65,橙汁,orange juice,juice,images/65_orange_juice.png,cocktaildb,0.994,ok
678,粉红柠檬水,pink lemonade,juice,images/678_pink_lemonade.png,cocktaildb,0.991,ok
68,蔓越莓汁,cranberry juice,juice,images/68_cranberry_juice.png,csv,1.000,ok
691,鲜榨菠萝汁,fresh pineapple juice,juice,images/691_fresh_pineapple_juice.png,cocktaildb,1.000,ok
749,血腥玛丽混合汁,bloody mary mix,juice,images/placeholders/juice.png,placeholder,1.000,no_image
761,百香果果泥,passion fruit puree,juice,images/placeholders/juice.png,placeholder,0.000,no_image
776,芒果汁,mango juice,juice,images/placeholders/juice.png,placeholder,1.000,no_image
782,青葡萄汁,green grape juice,juice,images/placeholders/juice.png,placeholder,0.997,no_image
85,荔枝汁,lychee juice,juice,images/placeholders/juice.png,placeholder,,not_found
87,混合果汁,mixed fruit juice,juice,images/87_mixed_fruit_juice.png,cocktaildb,1.000,ok
10,草莓利口酒,strawberry liqueur,liqueur,images/10_strawberry_liqueur.png,image_search,0.999,ok
105,桃子洋甘菊味甜味美思,peach chamomile sweet vermouth,liqueur,images/105_peach_chamomile_sweet_vermouth.png,cocktaildb,0.930,ok
108,核桃利口酒,walnut liqueur,liqueur,images/108_walnut_liqueur.png,image_search,0.909,ok
12,香草利口酒,vanilla liqueur,liqueur,images/12_vanilla_liqueur.png,image_search,0.987,ok
120,美式开胃酒,American aperitif,liqueur,images/120_American_aperitif.png,cocktaildb,0.979,ok
122,辣椒浸泡苦味开胃酒,chili infused bitters,liqueur,images/122_chili_infused_bitters.png,image_search,1.000,ok
124,茴香利口酒,anise liqueur,liqueur,images/124_anise_liqueur.png,cocktaildb,1.000,ok
125,杏子白兰地,apricot brandy,liqueur,images/125_apricot_brandy.png,cocktaildb,0.993,ok
128,樱桃利口酒,cherry liqueur,liqueur,images/128_cherry_liqueur.png,csv,0.978,ok
131,柑橘利口酒,orange liqueur,liqueur,images/131_orange_liqueur.png,cocktaildb,1.000,ok
134,甜味美思,sweet vermouth,liqueur,images/134_sweet_vermouth.png,cocktaildb,0.930,ok
136,金鸡纳利口酒,quinquina liqueur,liqueur,images/136_quinquina_liqueur.png,cocktaildb,0.979,ok
143,巧克力利口酒,chocolate liqueur,liqueur,images/143_chocolate_liqueur.png,csv,0.988,ok
148,黑莓利口酒,blackberry liqueur,liqueur,images/148_blackberry_liqueur.png,csv,0.976,ok
152,覆盆子利口酒,raspberry liqueur,liqueur,images/152_raspberry_liqueur.png,csv,0.849,ok
153,深色可可利口酒,dark creme de cacao,liqueur,images/153_dark_creme_de_cacao.png,cocktaildb,0.999,ok
154,黄查特利口酒,Yellow Chartreuse,liqueur,images/154_Yellow_Chartreuse.png,cocktaildb,1.000,ok
155,利莱玫瑰,Lillet Rose,liqueur,images/155_Lillet_Rose.png,image_search,0.925,ok
157,味美思,vermouth,liqueur,images/157_vermouth.png,cocktaildb,0.990,ok
168,香料利口酒,spice liqueur,liqueur,images/168_spice_liqueur.png,image_search,0.000,ok
177,西瓜利口酒,watermelon liqueur,liqueur,images/177_watermelon_liqueur.png,image_search,1.000,ok
193,西柚利口酒,grapefruit liqueur,liqueur,images/193_grapefruit_liqueur.png,image_search,1.000,ok
201,红味美思,sweet red vermouth,liqueur,images/201_sweet_red_vermouth.png,cocktaildb,0.930,ok
203,榛子利口酒,hazelnut liqueur Frangelico,liqueur,images/203_hazelnut_liqueur_Frangelico.png,csv,1.000,ok
204,松子利口酒,pine nut liqueur,liqueur,images/placeholders/liqueur.png,placeholder,0.981,no_image
207,蜂蜜利口酒,honey liqueur,liqueur,images/placeholders/liqueur.png,placeholder,0.961,no_image
22,橙味利口酒,orange liqueur,liqueur,images/22_orange_liqueur.png,cocktaildb,1.000,ok
252,樱桃白兰地利口酒,cherry brandy liqueur,liqueur,images/252_cherry_brandy_liqueur.png,csv,0.962,ok
253,杏仁利口酒,amaretto almond liqueur,liqueur,images/253_amaretto_almond_liqueur.png,csv,0.910,ok
254,金鸡纳酒,quinquina,liqueur,images/254_quinquina.png,cocktaildb,0.979,ok
258,奶油利口酒,cream liqueur,liqueur,images/258_cream_liqueur.png,csv,0.913,ok
260,百香果利口酒,passion fruit liqueur,liqueur,images/placeholders/liqueur.png,placeholder,0.978,no_image
272,辣椒利口酒,chili pepper liqueur,liqueur,images/placeholders/liqueur.png,placeholder,0.810,no_image
276,杜本内红开胃酒,Dubonnet Rouge aperitif,liqueur,images/276_Dubonnet_Rouge_aperitif.png,cocktaildb,0.974,ok
285,梨味利口酒,pear liqueur,liqueur,images/285_pear_liqueur.png,bing,0.944,ok
